timestamp,type,raw,parsed
2026-08-12T19:59:54.920+00:00,BIN,"BIN,ver=1,type=1,seq=35206,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=979,roll_cd=-80,yaw_cd=-152,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35206,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":979,""roll_cd"":-80,""yaw_cd"":-152,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.088+00:00,BIN,"BIN,ver=1,type=1,seq=35517,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=908,roll_cd=-144,yaw_cd=-247,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35517,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":908,""roll_cd"":-144,""yaw_cd"":-247,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.174+00:00,BIN,"BIN,ver=1,type=1,seq=35632,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=908,roll_cd=-144,yaw_cd=-247,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35632,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":908,""roll_cd"":-144,""yaw_cd"":-247,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.254+00:00,BIN,"BIN,ver=1,type=1,seq=35632,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=931,roll_cd=-70,yaw_cd=-378,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35632,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":931,""roll_cd"":-70,""yaw_cd"":-378,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.338+00:00,BIN,"BIN,ver=1,type=1,seq=35632,ts=35,lat=0,lon=0,alt_mm=730,speed_cms=0,heading_cd=62814,pitch_cd=931,roll_cd=-70,yaw_cd=-378,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35632,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":730,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":931,""roll_cd"":-70,""yaw_cd"":-378,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.424+00:00,BIN,"BIN,ver=1,type=1,seq=35747,ts=35,lat=0,lon=0,alt_mm=740,speed_cms=0,heading_cd=62814,pitch_cd=954,roll_cd=-120,yaw_cd=-367,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35747,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":740,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":954,""roll_cd"":-120,""yaw_cd"":-367,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.506+00:00,BIN,"BIN,ver=1,type=1,seq=35871,ts=35,lat=0,lon=0,alt_mm=750,speed_cms=0,heading_cd=62814,pitch_cd=959,roll_cd=-276,yaw_cd=-347,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":35871,""ts"":35,""lat"":0,""lon"":0,""alt_mm"":750,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":959,""roll_cd"":-276,""yaw_cd"":-347,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:55.761+00:00,BIN,"BIN,ver=1,type=1,seq=36038,ts=36,lat=0,lon=0,alt_mm=780,speed_cms=0,heading_cd=62814,pitch_cd=1128,roll_cd=-267,yaw_cd=-24,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":36038,""ts"":36,""lat"":0,""lon"":0,""alt_mm"":780,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1128,""roll_cd"":-267,""yaw_cd"":-24,""bat_mv"":0,""status"":2}"
2026-08-12T19:59:56.598+00:00,BIN,"BIN,ver=1,type=1,seq=36878,ts=37,lat=0,lon=0,alt_mm=680,speed_cms=0,heading_cd=62814,pitch_cd=1034,roll_cd=-102,yaw_cd=-122,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":36878,""ts"":37,""lat"":0,""lon"":0,""alt_mm"":680,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1034,""roll_cd"":-102,""yaw_cd"":-122,""bat_mv"":0,""status"":2}"
2026-08-12T20:00:02.806+00:00,BIN,"BIN,ver=1,type=1,seq=43071,ts=43,lat=0,lon=0,alt_mm=580,speed_cms=0,heading_cd=62814,pitch_cd=1026,roll_cd=100,yaw_cd=61,bat_mv=0,status=0x02","{""ver"":1,""type"":1,""seq"":43071,""ts"":43,""lat"":0,""lon"":0,""alt_mm"":580,""speed_cms"":0,""heading_cd"":62814,""pitch_cd"":1026,""roll_cd"":100,""yaw_cd"":61,""bat_mv"":0,""status"":2}"
